max;10;20;30;40;50;60;70;80;90;100;
0.7;0.1;1.2;-2.3;0.9;-1.1;1.5;2.2;-0.8;3.1;<=;3.5;
1.3;1.9;0.8;0.7;-1.2;2.2;-0.9;1.1;2.5;1.8;<=;5.7;
0.5;1.2;2.5;0.6;1.1;2.9;1.5;1.2;2.2;-0.7;<=;5.8;
1.1;0.5;0.9;3.4;1.5;0.8;-1.1;2.8;-2.2;0.9;<=;2.6;
2.6;-0.9;1.7;1.1;0.6;2.2;-1.5;0.9;3.1;-1.1;<=;4.7;
1.1;2.2;0.6;2.9;-0.9;0.7;1.1;1.5;0.8;2.6;<=;6.1;
-1.9;0.9;2.2;1.1;2.8;-0.7;1.1;1.5;0.8;2.2;<=;5.2;
0.8;1.5;1.1;-0.9;2.5;1.1;2.2;0.6;-1.5;3.1;<=;6.8;
0.9;1.1;1.5;2.8;0.8;-0.9;2.2;-1.1;2.9;1.1;<=;4.6;
-0.7;2.5;-1.5;0.9;3.1;1.1;1.2;2.2;0.6;1.5;<=;7.3;
